prob_default,uncertainty,segment
0.36305192,0.026233869,Medium / Monitor
0.30787748,0.022456268,Medium / Monitor
0.51756227,0.013762158,Medium / Monitor
0.70790076,0.014878245,High Risk (Confident)
0.4253373,0.022247516,Medium / Monitor
0.4137746,0.022601318,Medium / Monitor
0.5875892,0.020972222,Medium / Monitor
0.55729115,0.024267321,Medium / Monitor
0.547619,0.015844556,Medium / Monitor
0.3256891,0.037167393,Medium / Monitor
0.6204391,0.022584802,Medium / Monitor
0.453874,0.032450825,Medium / Monitor
0.65908813,0.0207107,Medium / Monitor
0.33744588,0.025751378,Medium / Monitor
0.5482181,0.02419419,Medium / Monitor
0.042928405,0.018544218,Low Risk
0.3616127,0.020715477,Medium / Monitor
0.56873626,0.067132935,Medium / Monitor
0.5070727,0.025782354,Medium / Monitor
0.5126029,0.02088052,Medium / Monitor
0.4560518,0.014911454,Medium / Monitor
0.43684644,0.014121545,Medium / Monitor
0.68496895,0.01950952,Medium / Monitor
0.4089583,0.019036014,Medium / Monitor
0.53857917,0.024059998,Medium / Monitor
0.7772246,0.023343,High Risk (Confident)
0.45194176,0.022212042,Medium / Monitor
0.69818157,0.011682298,Medium / Monitor
0.24926887,0.028122773,Low Risk
0.6428388,0.023034668,Medium / Monitor
0.5797488,0.025920479,Medium / Monitor
0.5221927,0.032407824,Medium / Monitor
0.3666038,0.02138431,Medium / Monitor
0.5601114,0.020102449,Medium / Monitor
0.6606466,0.014021668,Medium / Monitor
0.556838,0.033317965,Medium / Monitor
0.65389985,0.026579805,Medium / Monitor
0.3207425,0.015859662,Medium / Monitor
0.4004736,0.028113836,Medium / Monitor
0.4169131,0.015032762,Medium / Monitor
0.43376902,0.039123204,Medium / Monitor
0.61224675,0.015382368,Medium / Monitor
0.6273439,0.0109885605,Medium / Monitor
0.4620197,0.03623825,Medium / Monitor
0.43221614,0.026598413,Medium / Monitor
0.4783147,0.019842971,Medium / Monitor
0.2925533,0.020853436,Low Risk
0.74719274,0.014805921,High Risk (Confident)
0.7281774,0.022457162,High Risk (Confident)
0.6005628,0.025809018,Medium / Monitor
0.37778813,0.11872427,Medium / Monitor
0.5771385,0.01778472,Medium / Monitor
0.37889174,0.042367104,Medium / Monitor
0.47143683,0.018094376,Medium / Monitor
0.36588722,0.018468194,Medium / Monitor
0.51781964,0.019130252,Medium / Monitor
0.3593784,0.031790882,Medium / Monitor
0.45244393,0.02453682,Medium / Monitor
0.5205649,0.01877059,Medium / Monitor
0.23731938,0.021936744,Low Risk
0.3131011,0.02829301,Medium / Monitor
0.6827856,0.031982847,Medium / Monitor
0.3285292,0.020515462,Medium / Monitor
0.49221447,0.041396793,Medium / Monitor
0.64274734,0.02059959,Medium / Monitor
0.48135233,0.018860888,Medium / Monitor
0.67009145,0.017175714,Medium / Monitor
0.5391701,0.022070218,Medium / Monitor
0.5692905,0.027206045,Medium / Monitor
0.3530075,0.023459133,Medium / Monitor
0.3945452,0.022495078,Medium / Monitor
0.57868487,0.018121148,Medium / Monitor
0.49481723,0.014832197,Medium / Monitor
0.46856588,0.031693116,Medium / Monitor
0.21397455,0.022586346,Low Risk
0.31063542,0.012775054,Medium / Monitor
0.2991845,0.034498878,Low Risk
0.6770305,0.020301295,Medium / Monitor
0.5892006,0.01916955,Medium / Monitor
0.6810129,0.013058913,Medium / Monitor
0.7817253,0.014591603,High Risk (Confident)
0.39427772,0.014775742,Medium / Monitor
0.6481522,0.014439862,Medium / Monitor
